,account_id,games,wins,pos_1_num,pos_2_num,pos_3_num,pos_4_num,pos_5_num,last_hits,denies,kills,deaths,assists
12920,342711129,1,0,0,0,0,1,0,8,1,1,10,9
12921,1058790226,2,0,0,0,0,0,2,35,5,3,24,13
12922,126901085,67,25,2,5,5,34,21,4566,217,282,501,844
12923,1232755551,1,0,0,1,0,0,0,133,14,3,6,2
12924,110254944,24,16,0,0,2,7,15,1189,113,66,184,436
12925,277633890,5,3,2,0,0,1,2,942,53,33,46,54
12926,108616547,1,0,1,0,0,0,0,195,20,2,6,5
12927,244505443,3,2,0,0,0,0,3,63,7,18,21,52
12928,159079268,1,0,0,0,1,0,0,64,5,4,11,4
12929,288906088,2,1,0,2,0,0,0,339,14,19,10,27
12930,114547560,2,0,0,2,0,0,0,294,5,10,15,25
12931,970447722,2,0,2,0,0,0,0,358,19,7,13,11
12932,343366507,1,0,0,0,0,1,0,207,7,5,8,12
12933,94165866,1,0,0,0,1,0,0,55,4,0,8,3
12934,194894704,5,1,2,2,1,0,0,1247,38,37,23,42
12935,139680625,1,0,1,0,0,0,0,277,21,3,5,1
12936,339729266,1,0,0,0,0,1,0,95,4,3,11,19
12937,177134449,12,2,9,3,0,0,0,2891,125,66,39,72
12938,168287092,1,1,0,1,0,0,0,118,6,7,3,16
12939,1032051577,1,0,1,0,0,0,0,156,2,11,10,1
12940,318856059,1,0,0,1,0,0,0,14,5,1,7,2
12941,404347775,1,1,0,1,0,0,0,108,19,16,0,16
12942,350739327,18,9,11,5,2,0,0,6286,253,210,123,160
12943,353819521,7,4,1,1,4,1,0,983,109,34,33,63
12944,177986434,1,0,0,0,1,0,0,197,8,1,3,5
12945,86727555,322,165,0,1,3,26,292,18186,816,659,1985,3837
12946,149969795,9,3,0,0,1,1,7,225,30,12,50,92
12947,170417029,81,37,0,0,1,14,66,3648,226,204,602,1029
12948,216030085,14,7,0,0,12,2,0,1657,160,71,95,252
12949,89217927,24,7,0,0,7,6,11,1885,133,69,153,250
12950,163470216,2,0,1,1,0,0,0,459,17,7,15,11
12951,1106500482,230,116,5,43,149,17,16,30495,1816,1357,1291,3584
12952,865688458,6,0,4,1,0,0,1,1065,33,20,26,40
12953,247126923,2,1,1,0,1,0,0,174,39,16,8,19
12954,384228235,1,0,0,0,0,0,1,27,1,1,8,6
12955,165403533,1,0,0,0,0,0,1,32,5,0,6,3
