,account_id,games,wins,pos_1_num,pos_2_num,pos_3_num,pos_4_num,pos_5_num,last_hits,denies,kills,deaths,assists,Unnamed: 0,name,estimate_mmr,solo_competetive_rank,leaderboard_rank,calculated_position
889,138885864,78,20,7,18,52,1,0,225.42307692307693,6.717948717948718,3.3076923076923075,5.576923076923077,8.923076923076923,1145,Son Goku,6952.0,9091.0,15.0,3.0
334,101586543,78,43,24,31,18,2,3,240.8846153846154,13.282051282051283,6.461538461538462,3.423076923076923,9.871794871794872,554,跳刀跳刀丶,5764.0,,196.0,2.0
1649,995062523,78,38,40,22,9,4,3,265.1025641025641,9.474358974358974,7.730769230769231,6.17948717948718,10.333333333333334,2409,^,6258.0,,,1.0
118,199133117,77,39,16,47,10,3,1,235.3896103896104,16.103896103896105,6.701298701298701,4.1558441558441555,9.662337662337663,1633,FACEHUGGER,6561.0,7115.0,,2.0
1552,74378317,76,27,0,0,2,13,61,46.93421052631579,2.8552631578947367,2.223684210526316,7.578947368421052,11.68421052631579,197,Flapjack,5522.0,6574.0,381.0,5.0
1446,93119769,76,42,33,30,13,0,0,249.06578947368422,8.605263157894736,7.052631578947368,5.394736842105263,10.644736842105264,427,QO,6906.0,7254.0,127.0,1.0
1493,98887913,76,42,2,29,34,11,0,246.4078947368421,7.855263157894737,5.355263157894737,6.25,12.06578947368421,495,xiao8,6748.0,7821.0,240.0,3.0
373,151460217,76,30,24,45,4,1,2,252.39473684210526,6.631578947368421,6.657894736842105,4.7105263157894735,9.539473684210526,1239,NaNaNa ⊂(・﹏・⊂),6476.0,7388.0,88.0,2.0
298,322442240,75,42,1,0,4,55,15,54.61333333333334,2.8533333333333335,3.68,5.72,14.2,1994,Lis神,6212.0,,115.0,4.0
1157,101240880,75,43,20,14,24,8,9,187.82666666666665,8.906666666666666,5.573333333333333,4.426666666666667,11.106666666666667,541,SoLotic-,6224.0,6643.0,192.0,3.0
485,102506586,75,40,0,0,0,4,71,47.24,2.7066666666666666,3.066666666666667,6.68,15.466666666666667,575,cozy,4967.0,4741.0,2296.0,5.0
1816,116293223,75,29,9,46,18,2,0,194.38666666666666,7.36,7.093333333333334,3.7733333333333334,10.013333333333334,816,Black Soul,6235.0,7003.0,135.0,2.0
1664,101446572,75,39,2,54,19,0,0,180.97333333333333,15.293333333333333,5.133333333333334,3.8,9.333333333333334,547,Ceyler,6421.0,7115.0,403.0,2.0
126,87197791,75,36,1,2,7,3,62,65.14666666666666,3.6933333333333334,3.2666666666666666,6.72,14.72,2464,rmN-,7926.0,8349.0,115.0,5.0
1333,75390186,74,44,0,0,3,50,21,44.851351351351354,2.689189189189189,3.189189189189189,6.135135135135135,15.64864864864865,200,Barry,6494.0,7003.0,213.0,4.0
1811,290553350,74,30,13,41,20,0,0,242.2027027027027,12.68918918918919,5.77027027027027,4.554054054054054,8.986486486486486,1897,onepumaman,7112.0,,,2.0
160,417663640,74,30,9,16,44,4,1,195.59459459459458,9.702702702702704,5.216216216216216,5.256756756756757,10.486486486486486,2222,dog,7115.0,,,3.0
1572,135884190,74,35,0,1,12,42,19,59.08108108108108,5.486486486486487,3.2432432432432434,5.108108108108108,11.81081081081081,1094,0,5882.0,6610.0,386.0,4.0
998,1171243748,73,43,69,4,0,0,0,403.83561643835617,10.054794520547945,8.424657534246576,3.3424657534246576,8.917808219178083,2445,𝒑𝒂𝒓𝒌𝒆𝒓,5926.0,,299.0,1.0
22,424116521,73,30,11,44,15,2,1,205.97260273972603,9.726027397260275,6.123287671232877,3.9452054794520546,7.657534246575342,2229,Alone♥,5483.0,3525.0,408.0,2.0
1834,112426916,73,38,25,38,9,0,1,268.16438356164383,12.465753424657533,8.520547945205479,4.273972602739726,9.67123287671233,736,MTD,6410.0,7804.0,483.0,2.0
463,85008179,73,35,1,3,14,17,38,86.15068493150685,4.082191780821918,3.712328767123288,5.602739726027397,12.054794520547945,255,bardinxd,5015.0,6045.0,2274.0,5.0
61,79922175,73,21,21,38,13,1,0,242.94520547945206,8.027397260273972,6.945205479452055,4.6438356164383565,9.246575342465754,221,AlienManaBanana,6032.0,7080.0,147.0,2.0
1074,842418568,73,35,4,6,10,45,8,118.82191780821918,4.0,3.7534246575342465,6.219178082191781,12.780821917808218,2297,dylan,4692.0,,1733.0,4.0
356,925571030,73,27,0,0,1,7,65,23.34246575342466,2.136986301369863,2.356164383561644,6.178082191780822,11.424657534246576,2385,aqua,5544.0,,345.0,5.0
513,100246000,73,28,4,7,11,37,14,106.6027397260274,4.2465753424657535,3.712328767123288,6.287671232876712,11.876712328767123,511,Vol,6371.0,5369.0,218.0,4.0
442,37658157,72,31,0,0,0,20,52,43.94444444444444,2.4722222222222223,2.1805555555555554,7.513888888888889,11.75,79,c4t,5830.0,5482.0,371.0,5.0
967,969982039,72,34,4,17,46,5,0,157.66666666666666,8.847222222222221,4.152777777777778,4.541666666666667,10.875,2397,ValeriaZ3,5648.0,,279.0,3.0
932,401653350,72,30,51,18,2,0,1,282.3888888888889,11.98611111111111,7.194444444444445,4.055555555555555,8.5,2188,Young God,6042.0,4849.0,141.0,1.0
1215,171627713,71,26,1,1,7,49,13,62.563380281690144,3.2816901408450705,3.408450704225352,6.71830985915493,11.71830985915493,1424,Froogoss,4944.0,5420.0,851.0,4.0
1127,172739956,71,30,22,36,12,0,1,264.5633802816901,10.408450704225352,5.887323943661972,4.338028169014085,8.633802816901408,1434,tae,6099.0,6511.0,710.0,2.0
1169,136335606,71,41,43,20,8,0,0,284.88732394366195,11.211267605633802,7.774647887323944,4.112676056338028,9.549295774647888,1103,Magi,5976.0,7002.0,473.0,1.0
459,195108598,71,32,52,15,4,0,0,336.88732394366195,10.577464788732394,7.140845070422535,3.2816901408450705,8.985915492957746,1594,Noticed,5754.0,5354.0,97.0,1.0
83,192120253,71,29,0,0,1,7,63,33.04225352112676,2.3661971830985915,2.5774647887323945,7.338028169014085,11.845070422535212,1574,empyreaN,6580.0,6034.0,265.0,5.0
1070,385763597,71,35,43,15,5,3,5,233.77464788732394,12.408450704225352,7.901408450704225,4.774647887323944,8.492957746478874,2157,Badboy,6898.0,6207.0,519.0,1.0
